product_id,name,description,price,supplier,stock,created_at
RSP-001,Customizer™ Engraving Pen - Classic Black,"Bolígrafo de grabado profesional con punta de tungsteno intercambiable y cuerpo ergonómico de aluminio anodizado negro para sesiones prolongadas de trabajo",89900,Resparked Official,120,2026-01-15T10:30:00Z
RSP-002,Customizer™ Engraving Pen - Rose Gold,"Edición premium del bolígrafo de grabado con acabado en oro rosa metalizado y grip de silicona antideslizante para trazos de máxima precisión",109900,Resparked Official,85,2026-01-15T10:30:00Z
RSP-003,Customizer™ Engraving Pen - Midnight Silver,"Versión plateada del pen de grabado con sistema de vibración ajustable en tres niveles de intensidad para distintos materiales y superficies",94900,Resparked Official,95,2026-01-16T08:00:00Z
RSP-004,Customizer™ Engraving Pen - Arctic White,"Diseño minimalista en blanco ártico con motor brushless silencioso ideal para grabado detallado en cuero joyería y superficies delicadas",99900,Resparked Official,60,2026-01-18T14:20:00Z
RSP-005,Customizer™ Engraving Pen - Cobalt Blue,"Edición limitada azul cobalto con punta de diamante incluida y estuche rígido de transporte con compartimentos para accesorios adicionales",119900,Resparked Official,40,2026-01-20T09:15:00Z
RSP-006,Kit Iniciación Grabado Resparked,"Kit completo para principiantes que incluye pen Customizer Classic un set de cinco puntas básicas y manual ilustrado de técnicas fundamentales",134900,GrabaTech,55,2026-02-01T11:00:00Z
RSP-007,Kit Profesional Grabado en Cuero,"Set avanzado con pen Customizer y diez puntas especializadas para cuero incluyendo biseladores punteadores y estampadores de texturas variadas",149900,GrabaTech,30,2026-02-01T11:00:00Z
RSP-008,Kit Grabado Joyería Deluxe,"Estuche premium con herramientas de precisión para grabado en metales blandos incluyendo lupa con luz LED y soporte magnético de sujeción",145000,GrabaTech,25,2026-02-05T16:45:00Z
RSP-009,Kit Caligrafía y Grabado Mixto,"Combo versátil que combina puntas de grabado y caligrafía para personalización de invitaciones tarjetas artesanales y proyectos de lettering sobre cuero",112500,GrabaTech,45,2026-02-10T08:30:00Z
RSP-010,Kit Mini Grabado Viajero,"Kit compacto en estuche de cuero enrollable con pen mini y ocho puntas esenciales diseñado para artistas que trabajan en movimiento",-15000,GrabaTech,70,2026-02-12T13:00:00Z
RSP-011,Punta Diamante Ultra-Fina 0.3mm,"Punta de diamante industrial de 0.3 milímetros para grabado de detalles microscópicos en joyería relojes y piezas de precisión extrema",54900,DiamondTip Co.,200,2026-02-15T10:00:00Z
RSP-012,Punta Diamante Estándar 0.8mm,"Punta versátil de diamante de 0.8mm ideal para grabado general en cuero madera y metales blandos con durabilidad extendida de mil horas",51900,DiamondTip Co.,180,2026-02-15T10:00:00Z
RSP-013,Punta Diamante Gruesa 1.5mm,"Bit de diamante de trazo grueso para grabado decorativo en superficies amplias como carteras cinturones y tapas de cuadernos de cuero",52900,DiamondTip Co.,150,2026-02-16T09:00:00Z
RSP-014,Set 5 Puntas Diamante Graduadas,"Colección de cinco puntas de diamante en grosores de 0.3 a 2.0 milímetros con organizador magnético para acceso rápido durante el trabajo",89900,DiamondTip Co.,90,2026-02-18T11:30:00Z
,Punta Diamante Cónica para Sombreado,"Punta con forma cónica especial para técnicas de sombreado y degradado en cuero que permite crear efectos de profundidad y volumen artístico",57900,DiamondTip Co.,110,2026-02-20T14:00:00Z
RSP-016,Punta Carburo de Tungsteno Reforzada,"Bit industrial de carburo de tungsteno para grabado en superficies duras como acero inoxidable vidrio templado y piedras semipreciosas naturales",64900,DiamondTip Co.,75,2026-02-22T08:45:00Z
RSP-017,Set 3 Puntas Texturizadoras,"Conjunto de tres puntas con patrones geométricos integrados para crear texturas repetitivas en cuero como escamas trenzado y punteado uniforme",72900,DiamondTip Co.,65,2026-02-25T10:15:00Z
RSP-018,Punta Cerámica para Cuero Fino,"Punta de cerámica avanzada diseñada específicamente para cueros finos y delicados que evita desgarros y quemaduras manteniendo trazos limpios",59900,DiamondTip Co.,130,2026-03-01T09:00:00Z
RSP-019,Lienzo Cuero Vacuno Natural 30x40cm,"Pieza de cuero vacuno curtido al vegetal de treinta por cuarenta centímetros con acabado liso ideal para grabado artístico y proyectos decorativos",78900,LeatherCraft AR,100,2026-03-05T12:00:00Z
RSP-020,Lienzo Cuero Vacuno Natural 20x25cm,"Formato mediano de cuero vacuno de veinte por veinticinco centímetros perfecto para práctica de técnicas nuevas y prototipos de diseños personalizados",0,LeatherCraft AR,140,2026-03-05T12:00:00Z
RSP-021,Lienzo Cuero Cabra Premium 25x30cm,"Cuero de cabra de primera calidad con grano fino y flexibilidad superior para grabado detallado en accesorios pequeños como fundas y billeteras",84900,LeatherCraft AR,80,2026-03-08T15:30:00Z
RSP-022,Pack 10 Lienzos Práctica Cuero Reciclado,"Diez piezas de cuero reciclado de quince por quince centímetros para práctica y experimentación sin desperdiciar material premium en pruebas iniciales",65900,LeatherCraft AR,200,2026-03-10T08:00:00Z
RSP-023,Lienzo Cuero Nobuck Marrón 30x30cm,"Cuero nobuck de textura aterciopelada en tono marrón chocolate ideal para grabado con técnica de presión que resalta el contraste natural del material",91900,LeatherCraft AR,55,2026-03-12T11:00:00Z
RSP-024,Customizer™ Engraving Pen - Matte Forest Green,"Edición especial en verde bosque mate con empuñadura texturizada y motor de alta velocidad para grabado rápido en cuero y madera blanda",104900,Resparked Official,50,2026-03-15T09:30:00Z
RSP-025,Customizer™ Engraving Pen - Sunset Copper,"Acabado en cobre envejecido con detalles artesanales y sistema de cambio rápido de puntas mediante collar magnético sin necesidad de herramientas",114900,Unknown,35,2026-03-15T09:30:00Z
RSP-026,Kit Grabado Lettering Especializado,"Set enfocado en lettering con ocho puntas caligráficas de diferentes estilos plantillas de alfabetos y guía de tipografías para personalización de regalos",128900,GrabaTech,40,2026-03-18T14:00:00Z
RSP-027,Lienzo Cuero Crudo Sin Teñir 40x50cm,"Pieza grande de cuero crudo sin tratamiento químico de cuarenta por cincuenta centímetros para proyectos artísticos de gran formato y murales decorativos",105900,LeatherCraft AR,35,2026-03-20T10:00:00Z
RSP-028,Punta Diamante Micro 0.1mm Joyería,"La punta más fina de la línea con solo 0.1 milímetros de diámetro para micrograbado en anillos alianzas y piezas de joyería miniatura",69900,DiamondTip Co.,60,2026-03-22T08:00:00Z
RSP-029,Base de Corte Autocicatrizante A3,"Superficie de trabajo profesional autocicatrizante tamaño A3 con cuadrícula impresa y canal perimetral para proteger la mesa durante sesiones de grabado",56900,ToolMaster SA,90,2026-03-25T11:45:00Z
RSP-030,Soporte Magnético Universal para Pen,"Soporte de escritorio con base magnética pesada que mantiene el pen Customizer en posición vertical y accesible entre usos durante el trabajo",0,ToolMaster SA,110,2026-04-01T09:00:00Z
RSP-031,Aceite Acondicionador para Cuero 120ml,"Aceite natural de neatsfoot para acondicionar y preparar la superficie del cuero antes del grabado mejorando la recepción del trazo y el contraste",52900,LeatherCraft AR,160,2026-04-02T10:30:00Z
RSP-032,Lupa LED con Brazo Articulado,"Lupa de aumento tres equis con iluminación LED de temperatura ajustable y brazo articulado con clamp para fijación al borde de la mesa",87900,ToolMaster SA,45,2026-04-05T13:00:00Z
,Kit Mantenimiento Customizer™ Pen,"Set de limpieza y mantenimiento que incluye lubricante para motor cepillo de carbón de repuesto y paño de microfibra antiestático para el cuerpo",61900,Resparked Official,75,2026-04-08T08:30:00Z
RSP-034,Delantal de Cuero para Taller,"Delantal artesanal de cuero grueso con bolsillos para herramientas y ajuste cruzado en la espalda diseñado para proteger durante sesiones largas de trabajo",93900,LeatherCraft AR,50,2026-04-10T11:00:00Z
RSP-035,Tinta de Relleno para Grabado Dorada 30ml,"Tinta metalizada dorada de alta pigmentación para rellenar surcos de grabado en cuero creando un efecto premium de letras e ilustraciones en oro",54900,Resparked Official,180,2026-04-12T09:15:00Z
RSP-036,Tinta de Relleno para Grabado Plateada 30ml,"Tinta metalizada plateada para destacar grabados en cuero oscuro con acabado brillante resistente al desgaste y a la exposición solar prolongada",54900,Resparked Official,170,2026-04-12T09:15:00Z
RSP-037,Plantillas Stencil Pack Naturaleza x12,"Doce plantillas reutilizables con diseños de hojas flores animales y paisajes naturales en acetato grueso compatible con el pen Customizer estándar",67900,GrabaTech,85,2026-04-14T10:00:00Z
RSP-038,Plantillas Stencil Pack Geométrico x12,"Colección de doce stencils con patrones geométricos mandalas y formas abstractas para grabado decorativo en cuero y superficies de madera lisa",67900,Unknown,80,2026-04-14T10:00:00Z
RSP-039,Lienzo Cuero Vegetal Italiano 25x35cm,"Cuero vegetal italiano de curtido lento con textura uniforme y tonalidad miel que oscurece naturalmente con el uso creando una pátina única",119900,LeatherCraft AR,30,2026-04-16T14:30:00Z
RSP-040,Customizer™ Pen Batería de Repuesto,"Batería recargable de litio de 2500mAh compatible con todos los modelos Customizer que ofrece hasta seis horas continuas de uso intensivo",-5000,Resparked Official,150,2026-04-18T08:00:00Z
RSP-041,Cable USB-C Carga Rápida 1.5m,"Cable trenzado USB-C de un metro y medio con carga rápida de treinta watts y conector reforzado compatible con el cargador del pen Customizer",52000,ToolMaster SA,200,2026-04-18T08:00:00Z
RSP-042,Kit Grabado Infantil Mi Primer Customizer,"Set seguro para niños mayores de ocho años con pen de baja potencia puntas romas y cinco lienzos de práctica con diseños preimpresos guiados",79900,GrabaTech,60,2026-04-20T11:00:00Z
RSP-043,Estuche Rígido Premium para Customizer™,"Estuche de transporte rígido con interior de espuma troquelada que aloja el pen quince puntas accesorios y cable de carga de forma segura",74900,Resparked Official,70,2026-04-21T09:00:00Z
RSP-044,Punta Diamante Plana para Biselado,"Punta con filo plano de diamante para técnica de biselado y rebajado en cuero que permite crear bordes decorativos y marcos en piezas artesanales",62900,DiamondTip Co.,85,2026-04-21T10:30:00Z
,Lienzo Cuero Sintético Vegano 30x40cm,"Alternativa vegana de cuero sintético de alta calidad con textura realista que acepta grabado con pen Customizer para clientes con preferencia cruelty-free",0,LeatherCraft AR,95,2026-04-22T08:00:00Z
RSP-046,Set Puntas Micro-Detalle Pack Pro x8,"Ocho puntas de precisión sub-milimétrica para artistas avanzados que requieren nivel de detalle extremo en retratos y diseños fotorrealistas sobre cuero",98900,DiamondTip Co.,40,2026-04-22T09:00:00Z
RSP-047,Customizer™ Engraving Pen - Cherry Red,"Edición vibrante en rojo cereza con grip ergonómico de doble densidad y luz LED integrada que ilumina la zona de trabajo para mayor precisión",-8500,Resparked Official,55,2026-04-22T10:00:00Z
RSP-048,Libro Técnicas de Grabado en Cuero Vol.1,"Manual impreso de doscientas páginas con técnicas paso a paso fotografías a color y veinte proyectos guiados desde nivel principiante hasta avanzado",85900,Resparked Official,90,2026-04-22T10:30:00Z
RSP-049,Regla Metálica de Precisión 30cm,"Regla de acero inoxidable con borde biselado antideslizante y marcas láser cada medio milímetro para trazado y corte preciso de cuero antes del grabado",50900,ToolMaster SA,120,2026-04-22T11:00:00Z
RSP-050,Kit Workshop Grabado Grupal x5,"Pack para talleres grupales con cinco pens Customizer Classic veinticinco lienzos de práctica y material didáctico para instructor con programa de cuatro horas",0,GrabaTech,15,2026-04-22T11:30:00Z
